2.5552,1.3701,3.3913,1.1453,0.096047,0.71787
0.72436,8.2508,1.3202,1.5251,2.1525,0.47273
6.1121,1.3484,6.9161,2.8792,0.49693,0.78147
9.7767,3.9307,2.0208,2.1168,0.22363,0.56488
0.56469,9.7021,7.3981,1.0907,2.0757,0.8311
4.8489,0.25594,0.1987,1.8119,0.62607,0.64289
0.88382,5.014,2.2184,1.8091,2.2086,0.62768
6.7306,1.5734,7.9345,1.6334,0.31918,0.71091
4.3765,3.6733,1.8186,2.668,2.9659,0.61166
1.4918,3.7094,7.1714,2.3946,2.2363,0.89045
1.1282,8.109,4.8151,0.31442,1.2611,0.5585
0.043546,4.712,9.3692,0.1748,0.70736,0.73641
7.4665,5.0076,0.29993,0.59334,1.546,0.51897
1.5159,2.5093,1.974,1.2753,0.95396,0.60906
0.45201,0.10598,0.86822,0.10217,0.10534,0.63454
3.712,5.693,2.9619,2.2843,1.1797,0.72418
1.545,2.7159,5.4413,2.4039,1.2975,0.56479
1.9306,3.6197,9.7594,2.4875,2.1059,0.65575
2.0521,5.387,3.775,1.8214,1.1394,0.62997
3.5694,4.212,9.6121,1.9421,0.41306,0.90232
2.7194,6.5332,0.26467,2.7116,1.653,0.76658
3.4119,0.72476,2.069,2.0054,0.28835,0.82871
0.5818,2.6106,2.1644,1.4616,2.6322,0.56687
6.0173,9.5203,6.6107,0.49254,1.0119,0.46161
6.0343,2.3838,1.7459,2.7296,0.06451,0.73714
3.5642,4.033,1.5258,2.7416,2.3345,0.73832
2.7614,0.54249,4.1451,2.002,2.7746,0.52499
2.1078,0.86172,8.5868,2.6527,0.57597,0.79768
1.6227,6.895,5.6031,2.2351,1.979,0.51907
2.0613,0.16758,5.0287,1.6669,1.0636,0.57914
8.5811,0.61748,7.1129,2.3568,0.49818,0.78001
9.4891,8.5912,7.9805,2.7124,0.32989,0.70686
3.6954,5.5864,7.1291,2.6553,1.8761,0.58168
5.9482,2.3658,0.44326,2.946,2.5583,0.55698
0.96732,6.6621,5.9602,0.42133,2.4651,0.66084
8.4277,2.7799,9.744,2.2652,0.31156,0.6159
6.4807,4.7732,7.3459,0.54779,0.25029,0.60413
9.7,0.72053,0.48402,2.634,0.52253,0.56755
1.1501,3.2706,6.9696,0.43814,0.10797,0.91473
4.2695,1.9549,7.4405,2.1513,0.2701,0.8135
1.5641,4.8649,7.8468,2.4873,1.2154,0.67655
6.9235,6.126,9.3614,1.2516,2.6176,0.52041
1.5462,3.522,5.0376,0.60927,0.11525,0.92311
