RMP_JH_201500609_grk_MCP-Dendra_oocyte_stg5_NC_Green_Red_100xSI_ZT_154_R3D_D3D_snapshot_01.jpg,centroids
0,0.42857142857142855,21.285714285714285
1,1.5,84.5
2,5.0,54.0
3,7.0,132.5
4,6.25,334.75
5,10.199999999999999,0.40000000000000002
6,15.5,221.5
7,37.068965517241381,340.9655172413793
8,37.904761904761905,136.57142857142858
9,38.363636363636367,188.72727272727272
10,38.5,308.5
11,41.210526315789473,26.05263157894737
12,43.5,321.5
13,44.272727272727273,332.27272727272725
14,50.142857142857146,28.714285714285715
15,50.5,206.5
16,56.357142857142854,323.64285714285717
17,54.777777777777779,334.0
18,55.5,162.5
19,58.75,106.5
20,58.5,199.5
21,62.299999999999997,211.59999999999999
22,65.266666666666666,153.19999999999999
23,69.75,52.75
24,70.5,283.5
25,83.96875,198.6875
26,82.909090909090907,308.63636363636363
27,85.615384615384613,64.384615384615387
28,84.5,143.5
29,85.5,75.0
30,85.5,81.5
31,88.666666666666671,172.33333333333334
32,89.5,141.5
33,91.5,59.5
34,92.0,65.0
35,92.400000000000006,189.19999999999999
36,96.0,45.25
37,100.0,63.0
38,100.64285714285714,301.14285714285717
39,101.125,81.875
40,100.5,205.0
41,100.5,266.5
42,101.8,115.59999999999999
43,103.14285714285714,34.0
44,108.0,107.71428571428571
45,107.84210526315789,84.0
46,108.5,194.0
47,111.66666666666667,81.0
48,116.5,95.5
49,118.0,211.0
50,124.45,341.60000000000002
51,123.75,50.875
52,122.38461538461539,62.384615384615387
53,122.875,95.625
54,123.5,83.5
55,125.5,196.75
56,127.53846153846153,170.92307692307693
57,126.5,179.88888888888889
58,125.85714285714286,320.35714285714283
59,127.85714285714286,27.428571428571427
60,130.84615384615384,108.61538461538461
61,131.63636363636363,61.0
62,131.68421052631578,131.15789473684211
63,134.0,146.33333333333334
64,135.5,295.0
65,138.0,105.2
66,141.52000000000001,45.519999999999996
67,140.16666666666666,67.0
68,139.5,322.5
69,141.5,278.5
70,144.33333333333334,84.200000000000003
71,145.61538461538461,73.615384615384613
72,146.11764705882354,143.58823529411765
73,150.96000000000001,105.08
74,149.5,132.80000000000001
75,153.80000000000001,150.80000000000001
76,153.5,331.5
77,156.76923076923077,53.230769230769234
78,159.5,307.0
79,161.17391304347825,294.0
80,161.42857142857142,86.285714285714292
81,161.875,336.125
82,166.25,316.5
83,167.59999999999999,226.80000000000001
84,169.80000000000001,53.799999999999997
85,173.0,342.71428571428572
86,173.19999999999999,15.800000000000001
87,174.5,161.0
88,176.19999999999999,97.200000000000003
89,180.5,326.5
90,183.125,227.875
91,182.5,239.0
92,188.0,40.333333333333336
93,189.14285714285714,45.714285714285715
94,191.22222222222223,89.055555555555557
95,191.77777777777777,100.11111111111111
96,190.5,293.5
97,191.59999999999999,328.60000000000002
98,194.71428571428572,65.142857142857139
99,196.0,23.0
100,196.5,81.5
101,198.80000000000001,101.2
102,201.5,116.0
103,201.5,213.5
104,201.59999999999999,337.80000000000001
105,206.875,81.875
106,208.16666666666666,137.75
107,207.85714285714286,113.71428571428571
108,207.80000000000001,309.5
109,210.0,34.200000000000003
110,208.40000000000001,70.200000000000003
111,210.19999999999999,97.200000000000003
112,212.09999999999999,142.30000000000001
113,212.0,165.5
114,217.34999999999999,182.59999999999999
115,217.75,129.75
116,218.78571428571428,145.64285714285714
117,220.0,86.0
118,218.5,210.0
119,222.57142857142858,133.64285714285714
120,221.25,1.5
121,225.0,151.5
122,225.38461538461539,340.38461538461536
123,228.76470588235293,271.23529411764707
124,229.0,65.15384615384616
125,233.5,225.92857142857142
126,235.5,246.83333333333334
127,236.5,55.5
128,237.25,201.0
129,239.19999999999999,329.0
130,241.0,94.916666666666671
131,243.30000000000001,20.5
132,244.83333333333334,181.75
133,246.78571428571428,109.64285714285714
134,245.5,115.5
135,246.19999999999999,295.19999999999999
136,250.1875,154.1875
137,252.0,10.5
138,259.60869565217394,142.10869565217391
139,260.63636363636363,113.90909090909091
140,260.66666666666669,303.33333333333331
141,263.66666666666669,174.11111111111111
142,262.875,177.875
143,263.19999999999999,204.80000000000001
144,265.5,91.5
145,271.5,283.0
146,273.36363636363637,174.09090909090909
147,274.5,58.5
148,276.8125,185.1875
149,277.25,288.625
150,282.8235294117647,255.58823529411765
151,284.0,262.5
152,284.5,320.75
153,289.0,106.85714285714286
154,290.70588235294116,166.29411764705881
155,290.5,320.0
156,290.88888888888891,323.0
157,291.07142857142856,245.85714285714286
158,291.55555555555554,255.22222222222223
159,291.55555555555554,287.77777777777777
